datetime,open,high,low,close,volume
2026-03-05 18:50:00,70928.41,70945.12,70817.02,70866.13,54.54856
2026-03-05 18:55:00,70866.14,71021.86,70866.13,70990.65,54.16682
2026-03-05 19:00:00,70990.66,71255.5,70990.66,71152.62,70.41329
2026-03-05 19:05:00,71152.62,71272.63,71132.82,71272.49,81.47158
2026-03-05 19:10:00,71272.49,71421.15,71190.56,71368.4,105.06769
2026-03-05 19:15:00,71368.4,71368.4,71200.68,71316.0,55.59702
2026-03-05 19:20:00,71315.99,71430.78,71222.08,71233.14,41.22119
2026-03-05 19:25:00,71233.14,71244.62,71044.05,71107.41,52.6875
2026-03-05 19:30:00,71107.4,71107.4,70957.58,71036.27,38.21189
2026-03-05 19:35:00,71036.27,71054.13,70929.98,71009.65,36.84094
2026-03-05 19:40:00,71009.66,71160.34,71001.14,71006.8,39.88166
2026-03-05 19:45:00,71006.81,71117.81,71006.81,71060.0,25.64657
2026-03-05 19:50:00,71060.01,71092.0,70935.85,70935.86,34.33053
2026-03-05 19:55:00,70935.85,70978.38,70870.0,70918.07,45.10758
2026-03-05 20:00:00,70918.08,71068.0,70840.0,71064.23,61.47342
2026-03-05 20:05:00,71064.3,71109.93,70858.0,71049.53,52.39888
2026-03-05 20:10:00,71049.54,71109.73,70992.52,71100.0,42.48354
2026-03-05 20:15:00,71100.0,71251.16,71072.8,71204.5,53.51061
2026-03-05 20:20:00,71204.5,71310.82,71157.55,71299.48,43.59783
2026-03-05 20:25:00,71299.48,71338.41,71134.14,71178.64,34.95411
2026-03-05 20:30:00,71178.63,71327.52,71154.93,71302.25,18.54845
2026-03-05 20:35:00,71302.25,71394.45,71195.12,71197.5,34.94523
2026-03-05 20:40:00,71197.51,71242.97,71130.0,71155.91,30.49108
2026-03-05 20:45:00,71155.91,71230.89,71083.88,71189.07,19.67762
2026-03-05 20:50:00,71189.08,71230.26,71042.85,71184.59,37.80704
2026-03-05 20:55:00,71184.59,71350.0,71182.93,71236.51,66.8526
2026-03-05 21:00:00,71236.51,71334.72,71231.29,71333.97,29.88618
2026-03-05 21:05:00,71333.97,71349.63,71279.31,71330.37,19.11423
2026-03-05 21:10:00,71330.37,71330.38,71281.16,71301.71,19.10974
2026-03-05 21:15:00,71301.71,71521.24,71295.72,71470.65,103.11258
2026-03-05 21:20:00,71470.64,71521.45,71413.76,71482.53,89.64747
2026-03-05 21:25:00,71482.53,71572.3,71425.47,71517.81,77.18503
2026-03-05 21:30:00,71517.8,71567.75,71400.0,71422.44,34.81611
2026-03-05 21:35:00,71422.45,71422.45,71113.33,71138.91,81.21044
2026-03-05 21:40:00,71138.92,71193.98,71138.91,71189.0,15.67377
2026-03-05 21:45:00,71188.99,71315.0,71163.06,71314.99,25.61524
2026-03-05 21:50:00,71315.0,71322.55,71023.52,71027.25,30.90668
2026-03-05 21:55:00,71027.25,71159.31,71027.25,71141.93,20.20944
2026-03-05 22:00:00,71141.93,71255.99,71111.66,71111.67,67.50935
2026-03-05 22:05:00,71111.66,71234.9,71104.99,71119.22,132.51444
2026-03-05 22:10:00,71119.22,71165.25,71093.46,71165.24,98.51374
2026-03-05 22:15:00,71165.25,71272.75,71144.16,71272.75,37.88144
2026-03-05 22:20:00,71272.74,71288.0,71215.97,71288.0,185.6772
2026-03-05 22:25:00,71288.0,71295.86,71074.45,71160.45,76.56581
2026-03-05 22:30:00,71160.45,71242.64,71151.22,71193.59,39.54219
2026-03-05 22:35:00,71193.58,71248.0,71171.15,71171.15,40.41671
2026-03-05 22:40:00,71171.14,71364.45,71162.6,71276.46,37.16519
2026-03-05 22:45:00,71276.46,71334.72,71241.72,71241.73,19.7109
2026-03-05 22:50:00,71241.73,71340.0,71224.91,71224.92,18.25769
2026-03-05 22:55:00,71224.91,71341.63,71208.53,71208.54,80.87099
2026-03-05 23:00:00,71208.54,71281.19,71188.0,71206.78,43.15147
2026-03-05 23:05:00,71206.78,71233.0,71188.82,71230.0,47.82008
2026-03-05 23:10:00,71229.99,71233.0,71183.47,71197.02,21.66611
2026-03-05 23:15:00,71197.02,71214.24,71162.0,71214.24,187.70285
2026-03-05 23:20:00,71214.3,71244.95,71172.74,71201.01,80.88857
2026-03-05 23:25:00,71201.02,71292.44,71190.99,71213.98,142.75946
2026-03-05 23:30:00,71213.99,71219.26,70811.44,70892.99,174.78355
2026-03-05 23:35:00,70892.99,71001.27,70892.99,70983.82,12.96621
2026-03-05 23:40:00,70983.81,70983.82,70840.0,70919.43,35.69629
2026-03-05 23:45:00,70919.43,70928.41,70850.0,70852.97,16.25908
2026-03-05 23:50:00,70852.68,70900.0,70824.82,70842.74,138.03888
2026-03-05 23:55:00,70842.74,70951.85,70777.0,70890.72,165.34375
2026-03-06 00:00:00,70891.02,70909.08,70833.36,70898.01,52.29245
2026-03-06 00:05:00,70898.0,70946.14,70866.55,70889.98,63.49607
2026-03-06 00:10:00,70889.97,71047.95,70865.72,71018.3,71.75391
2026-03-06 00:15:00,71018.29,71043.33,70911.27,71008.99,164.58737
2026-03-06 00:20:00,71008.99,71035.67,70923.69,71035.67,77.36943
